Age,Income,Risk_Tolerance,Investment_Goal_Encoded,Experience_Years,User_Class
53,3179745,4,0,32,Moderate
59,629336,6,0,38,Moderate
33,2455282,6,2,12,Aggressive
38,450923,5,1,17,Moderate
47,201428,2,2,26,Conservative
19,1292998,1,1,0,Conservative
24,170179,1,3,3,Conservative
32,607209,7,1,11,Moderate
31,642372,6,0,10,Moderate
40,707530,4,2,19,Moderate
39,2597766,4,2,18,Moderate
29,1589273,7,0,8,Aggressive
67,475024,2,1,46,Conservative
42,175887,1,1,21,Conservative
62,900000,9,2,10,Aggressive
28,692861,7,2,7,Moderate
38,3350879,4,1,17,Moderate
37,1642003,9,1,16,Aggressive
40,2582035,8,3,19,Aggressive
56,1258286,9,1,35,Moderate
50,831244,10,1,29,Aggressive
58,980060,5,0,37,Moderate
66,197562,1,3,45,Conservative
55,1124418,1,3,34,Conservative
19,343616,10,0,0,Aggressive
39,859175,5,0,18,Moderate
54,475093,4,2,33,Conservative
57,611766,2,0,36,Conservative
36,1351070,6,1,15,Moderate
37,852273,6,1,16,Moderate
50,1440497,3,2,29,Conservative
49,346104,8,1,28,Moderate
50,490685,2,3,29,Conservative
59,549242,4,2,38,Conservative
59,263082,3,2,38,Conservative
57,893605,10,2,36,Aggressive
56,922470,8,2,35,Moderate
27,602949,7,2,6,Moderate
47,319127,4,1,26,Conservative
50,444269,3,3,29,Conservative
43,1109272,6,2,22,Moderate
25,287871,4,2,4,Moderate
38,366850,9,1,17,Moderate
56,520014,8,1,35,Moderate
58,288367,7,2,37,Moderate
36,602123,6,3,15,Moderate
68,1800821,6,0,47,Moderate
55,456572,8,1,34,Moderate
42,2467561,6,1,21,Moderate
62,2000000,10,0,10,Aggressive
34,3848158,4,3,13,Moderate
28,2522026,9,2,7,Aggressive
40,329406,4,0,19,Conservative
38,2009362,2,2,17,Moderate
19,610042,1,1,0,Conservative
41,526580,3,0,20,Conservative
63,1486841,8,1,42,Moderate
32,529213,5,0,11,Moderate
51,543488,6,0,30,Moderate
42,1011418,6,1,21,Moderate
40,547631,2,3,19,Conservative
64,4993957,6,2,43,Moderate
54,430500,1,0,33,Conservative
23,915657,4,3,2,Moderate
32,193331,8,3,11,Aggressive
57,293947,4,2,36,Conservative
43,584706,5,2,22,Moderate
23,1774582,9,2,2,Aggressive
50,867902,10,2,29,Aggressive
62,2000000,7,0,5,Moderate
44,490102,2,2,23,Conservative
46,3662273,6,2,25,Moderate
44,617447,10,3,23,Aggressive
39,4722018,10,2,18,Aggressive
51,4750583,7,0,30,Moderate
36,268179,4,1,15,Conservative
44,900000,6,2,5,Moderate
43,543989,10,2,22,Aggressive
68,1474267,8,2,47,Moderate
62,2000000,1,2,20,Conservative
43,297975,3,2,22,Conservative
64,730230,2,2,43,Conservative
25,466629,1,3,4,Conservative
59,1207202,1,3,38,Conservative
34,418073,4,3,13,Moderate
35,205918,2,1,14,Conservative
42,197078,7,2,21,Moderate
46,1397539,10,0,25,Aggressive
29,340910,10,1,8,Aggressive
36,709455,8,1,15,Moderate
48,2640252,6,2,27,Moderate
27,1395070,1,2,6,Conservative
64,1105353,9,1,43,Moderate
28,807565,10,2,7,Aggressive
37,470320,2,2,16,Conservative
54,4172972,10,0,33,Aggressive
62,900000,8,2,2,Moderate
21,437289,5,0,0,Moderate
26,2000000,10,2,20,Aggressive
58,699526,3,2,37,Conservative
69,4088079,9,2,48,Aggressive
46,246748,8,2,25,Moderate
40,189554,7,2,19,Moderate
46,1364227,8,2,25,Moderate
40,651459,2,2,19,Conservative
43,651310,2,3,22,Conservative
42,1101207,2,3,21,Moderate
48,636294,6,3,27,Moderate
56,393037,10,1,35,Aggressive
42,559849,3,1,21,Conservative
66,675903,3,2,45,Conservative
51,696989,4,0,30,Conservative
58,812094,8,0,37,Moderate
57,778078,6,1,36,Moderate
26,1169323,7,1,5,Moderate
39,744188,5,0,18,Moderate
35,700809,7,1,14,Moderate
29,362529,5,2,8,Moderate
29,596674,8,3,8,Aggressive
25,1278997,2,2,4,Moderate
44,237239,4,1,23,Conservative
22,327551,9,1,1,Aggressive
32,772473,2,2,11,Conservative
62,900000,7,2,10,Moderate
66,1340636,10,0,45,Aggressive
62,2000000,5,1,5,Moderate
65,1282521,4,2,44,Moderate
40,505622,6,2,19,Moderate
21,967659,5,1,0,Moderate
36,768443,4,2,15,Moderate
62,900000,7,0,20,Moderate
62,2000000,5,2,10,Moderate
61,642208,4,2,40,Conservative
46,1787872,9,2,25,Aggressive
49,3552584,7,2,28,Aggressive
38,677834,8,2,17,Moderate
31,544826,9,0,10,Moderate
42,674097,4,1,21,Conservative
56,252248,4,3,35,Moderate
54,1221163,8,1,33,Moderate
27,224208,9,2,6,Aggressive
55,1080208,6,1,34,Moderate
69,2685699,2,2,48,Moderate
44,900000,8,1,10,Moderate
51,599416,4,3,30,Moderate
51,164003,4,2,30,Conservative
40,3673146,6,1,19,Moderate
41,227900,6,1,20,Moderate
36,582182,1,1,15,Conservative
21,307615,5,0,0,Moderate
23,2013852,9,0,2,Aggressive
19,181888,6,1,0,Moderate
40,2112382,3,2,19,Moderate
32,781059,4,1,11,Moderate
42,569565,1,2,21,Conservative
40,571013,7,2,19,Moderate
52,403212,4,0,31,Conservative
19,1136513,8,2,0,Aggressive
53,334358,2,0,32,Conservative
38,1314906,9,0,17,Moderate
66,650588,6,0,45,Moderate
54,338574,8,0,33,Moderate
27,738763,9,1,6,Aggressive
34,954961,4,1,13,Moderate
32,745167,9,1,11,Aggressive
26,579012,8,3,5,Aggressive
50,758410,3,1,29,Conservative
18,501058,1,0,0,Conservative
57,711323,3,3,36,Moderate
51,1100478,6,2,30,Moderate
42,471884,6,2,21,Moderate
44,900000,9,2,10,Aggressive
31,360728,3,1,10,Conservative
59,1256772,10,1,38,Aggressive
62,2000000,10,2,10,Aggressive
24,753454,4,0,3,Moderate
34,1432841,7,1,13,Moderate
62,900000,10,2,10,Aggressive
21,703446,7,1,0,Moderate
26,2000000,8,2,2,Aggressive
47,675906,10,1,26,Aggressive
26,2000000,8,0,20,Aggressive
40,669072,1,0,19,Conservative
40,1342844,7,0,19,Moderate
48,611242,9,2,27,Moderate
22,1198017,3,0,1,Conservative
66,3741612,7,1,45,Moderate
40,4172039,10,2,19,Aggressive
44,997502,6,2,23,Moderate
44,900000,7,0,10,Moderate
33,703854,10,2,12,Aggressive
36,576555,8,2,15,Moderate
18,570929,10,2,0,Aggressive
56,302788,3,0,35,Conservative
46,1187035,3,1,25,Conservative
69,296510,6,3,48,Moderate
44,2000000,8,2,10,Aggressive
55,530817,2,2,34,Conservative
41,560165,6,0,20,Moderate
22,1436808,6,2,1,Moderate
50,672501,5,0,29,Conservative
49,4559963,8,2,28,Aggressive
38,2333247,10,3,17,Aggressive
39,351395,3,0,18,Conservative
39,1454830,1,1,18,Conservative
51,2238274,9,2,30,Aggressive
59,438961,4,1,38,Conservative
66,708564,7,3,45,Moderate
22,580775,3,2,1,Moderate
69,845054,4,2,48,Moderate
21,978679,2,2,0,Moderate
39,1724981,6,2,18,Aggressive
62,2000000,7,2,10,Aggressive
41,3541310,5,1,20,Moderate
37,804674,6,2,16,Moderate
36,1648731,8,3,15,Aggressive
59,4251828,7,1,38,Moderate
21,1276035,6,1,0,Moderate
20,4958883,1,3,0,Moderate
29,660289,5,2,8,Moderate
28,2324407,1,2,7,Moderate
65,434571,1,2,44,Conservative
24,733872,7,1,3,Moderate
56,235228,3,3,35,Conservative
44,2000000,6,2,5,Aggressive
62,405284,7,2,41,Moderate
44,1430235,2,3,23,Moderate
42,469181,6,3,21,Moderate
52,1421650,5,0,31,Moderate
40,331222,10,0,19,Aggressive
35,965927,10,3,14,Aggressive
59,399970,3,1,38,Conservative
28,195874,5,3,7,Moderate
37,640882,2,2,16,Conservative
38,368034,9,2,17,Aggressive
20,870825,7,2,0,Aggressive
35,2741102,8,2,14,Aggressive
48,1070092,3,2,27,Conservative
49,806398,6,0,28,Moderate
39,166697,7,1,18,Moderate
23,379685,9,0,2,Moderate
26,2000000,6,1,10,Aggressive
62,900000,5,1,2,Moderate
44,900000,10,0,20,Aggressive
55,755878,5,1,34,Moderate
40,664388,1,3,19,Conservative
47,677803,4,0,26,Conservative
29,1024984,5,2,8,Moderate
44,2000000,10,1,0,Aggressive
39,662481,5,0,18,Moderate
49,3809967,8,2,28,Aggressive
22,562776,8,1,1,Moderate
18,1145277,4,0,0,Moderate
23,1301993,7,2,2,Aggressive
63,3008468,3,1,42,Moderate
38,656579,6,1,17,Moderate
40,1075140,7,2,19,Moderate
23,680068,10,0,2,Aggressive
50,534582,7,2,29,Moderate
31,739652,2,2,10,Conservative
48,1405040,4,0,27,Conservative
25,1295707,4,0,4,Moderate
52,442563,4,2,31,Conservative
62,900000,8,2,20,Moderate
37,197888,2,3,16,Conservative
69,1186940,6,1,48,Moderate
62,350000,5,2,0,Moderate
67,1483249,1,2,46,Conservative
41,565666,7,2,20,Moderate
35,985639,8,0,14,Moderate
26,2000000,7,2,10,Aggressive
43,1449895,6,1,22,Moderate
53,519855,3,1,32,Conservative
44,651803,1,3,23,Conservative
38,633586,9,0,17,Moderate
58,1150804,4,2,37,Moderate
69,479606,3,1,48,Conservative
48,1375902,9,0,27,Moderate
54,4870587,3,2,33,Moderate
31,199878,6,0,10,Moderate
58,551736,2,0,37,Conservative
46,1173333,10,2,25,Aggressive
34,4416993,2,2,13,Moderate
65,428756,9,1,44,Moderate
53,604060,10,3,32,Aggressive
26,430607,10,2,5,Aggressive
34,3973088,3,2,13,Moderate
24,1546716,4,1,3,Moderate
44,1372843,5,2,23,Moderate
21,728274,7,2,0,Aggressive
47,985594,7,2,26,Moderate
44,2000000,5,2,20,Moderate
19,2459296,3,2,0,Moderate
46,225287,10,2,25,Aggressive
44,364761,5,2,23,Moderate
44,900000,8,2,10,Aggressive
40,3609430,7,2,19,Aggressive
26,900000,6,2,5,Moderate
41,204472,7,2,20,Moderate
26,3648395,8,0,5,Aggressive
36,797509,2,0,15,Conservative
41,775600,2,3,20,Moderate
41,648462,1,2,20,Conservative
56,1379629,9,3,35,Aggressive
21,1387210,2,2,0,Moderate
36,1333889,8,3,15,Aggressive
44,3232628,1,2,23,Moderate
62,350000,8,2,10,Moderate
69,828612,3,2,48,Conservative
18,3379133,7,3,0,Aggressive
37,4415410,7,1,16,Aggressive
53,213118,1,2,32,Conservative
47,1149763,10,2,26,Aggressive
34,1630031,10,3,13,Aggressive
42,4038910,10,1,21,Aggressive
63,708319,9,0,42,Moderate
54,1396486,10,0,33,Aggressive
29,942781,3,2,8,Moderate
42,517930,4,2,21,Moderate
34,2024495,9,2,13,Aggressive
40,260164,2,3,19,Conservative
24,238158,10,2,3,Aggressive
62,2000000,8,2,10,Aggressive
65,4399491,10,2,44,Aggressive
58,329159,10,2,37,Aggressive
62,900000,8,2,2,Moderate
34,457225,10,0,13,Aggressive
18,794417,10,2,0,Aggressive
42,1260291,6,2,21,Moderate
19,626420,1,3,0,Conservative
26,350000,3,1,2,Conservative
46,2471409,10,2,25,Aggressive
54,457332,9,2,33,Moderate
57,875130,4,0,36,Conservative
38,220467,5,0,17,Moderate
48,694059,4,2,27,Conservative
36,1291927,2,1,15,Conservative
21,2752143,1,0,0,Conservative
39,475961,6,1,18,Moderate
18,286711,4,1,0,Moderate
42,4589592,5,1,21,Moderate
36,198907,8,2,15,Moderate
50,665041,2,2,29,Conservative
68,1498381,1,2,47,Conservative
37,1414726,3,2,16,Moderate
68,596017,4,0,47,Conservative
33,1542146,6,1,12,Moderate
49,347248,4,2,28,Conservative
36,2871403,5,1,15,Moderate
44,325507,2,2,23,Conservative
53,701169,1,1,32,Conservative
34,184902,7,1,13,Moderate
31,518445,3,2,10,Conservative
32,372703,3,2,11,Conservative
36,1078301,10,0,15,Aggressive
36,178988,3,3,15,Moderate
43,277215,4,2,22,Moderate
40,281366,5,3,19,Moderate
28,1067521,2,2,7,Moderate
64,406371,10,0,43,Moderate
35,339893,6,3,14,Moderate
44,2000000,8,0,20,Aggressive
29,613259,9,1,8,Aggressive
53,1151165,5,0,32,Moderate
34,339568,3,0,13,Conservative
27,342599,6,0,6,Moderate
62,2000000,9,2,0,Aggressive
44,2000000,7,2,10,Aggressive
39,333835,7,2,18,Moderate
49,299598,9,2,28,Moderate
28,810348,10,2,7,Aggressive
44,4845822,4,3,23,Moderate
29,747909,8,2,8,Aggressive
44,390416,10,2,23,Aggressive
55,734230,1,1,34,Conservative
33,3680603,10,1,12,Aggressive
34,734296,10,1,13,Aggressive
38,419531,10,2,17,Aggressive
44,1415024,4,2,23,Moderate
42,508387,10,2,21,Aggressive
36,3940253,3,1,15,Moderate
33,923041,9,3,12,Aggressive
62,2000000,7,2,2,Aggressive
31,1938866,5,1,10,Moderate
33,1338195,7,0,12,Moderate
49,365946,2,0,28,Conservative
63,937361,5,1,42,Moderate
26,928848,6,1,5,Moderate
40,1153985,4,1,19,Moderate
44,2000000,9,2,10,Aggressive
62,900000,6,2,20,Moderate
46,613550,10,1,25,Aggressive
37,342797,5,3,16,Moderate
68,769106,10,2,47,Aggressive
62,2000000,5,2,20,Moderate
39,848929,1,2,18,Conservative
44,2000000,9,2,20,Aggressive
35,373048,1,2,14,Conservative
49,345081,6,1,28,Moderate
38,660793,1,1,17,Conservative
49,386971,3,1,28,Conservative
32,888888,5,2,11,Moderate
47,302239,9,2,26,Moderate
64,2738663,10,2,43,Aggressive
34,382511,4,2,13,Moderate
41,685556,2,3,20,Conservative
46,1479630,9,3,25,Aggressive
24,528369,1,0,3,Conservative
38,878738,10,1,17,Aggressive
49,1286884,8,2,28,Moderate
50,629182,6,3,29,Moderate
31,4822412,4,1,10,Moderate
21,728031,8,1,0,Aggressive
36,4868059,3,2,15,Moderate
22,550644,6,1,1,Moderate
35,1036659,10,2,14,Aggressive
62,2000000,10,2,5,Aggressive
21,3802383,8,1,0,Aggressive
38,2876005,9,2,17,Aggressive
28,476519,6,1,7,Moderate
67,390073,3,2,46,Conservative
68,1221863,1,1,47,Conservative
24,609667,2,0,3,Conservative
44,2000000,9,2,20,Aggressive
59,2943512,3,3,38,Moderate
40,1199985,5,2,19,Moderate
65,2866851,9,1,44,Aggressive
20,1263118,3,2,0,Moderate
58,286421,7,0,37,Moderate
62,350000,6,2,10,Moderate
40,503533,4,2,19,Moderate
22,1079934,10,2,1,Aggressive
40,683023,6,2,19,Moderate
33,620190,7,0,12,Moderate
42,3075088,4,1,21,Moderate
52,763491,9,2,31,Aggressive
69,1023750,8,0,48,Moderate
56,1201699,1,3,35,Conservative
40,634473,1,1,19,Conservative
44,1596460,7,3,23,Aggressive
62,1029314,1,1,41,Conservative
57,598810,7,1,36,Moderate
25,899126,8,0,4,Moderate
18,3451224,8,3,0,Aggressive
54,666195,9,2,33,Moderate
35,1320590,3,1,14,Conservative
27,3722929,8,3,6,Aggressive
49,710404,3,2,28,Conservative
55,526518,7,1,34,Moderate
47,1296626,5,3,26,Moderate
37,366641,8,2,16,Moderate
47,658686,6,0,26,Moderate
32,278393,2,0,11,Conservative
22,502318,1,2,1,Conservative
18,1463851,2,0,0,Conservative
40,975541,6,2,19,Moderate
54,2679527,2,0,33,Conservative
37,291770,5,1,16,Moderate
34,1498734,4,2,13,Moderate
42,1535903,10,3,21,Aggressive
66,153067,9,3,45,Aggressive
64,456542,8,2,43,Moderate
58,294526,1,1,37,Conservative
33,2208662,8,3,12,Aggressive
36,971829,2,2,15,Conservative
46,3409803,3,1,25,Moderate
26,215105,7,1,5,Moderate
20,4593042,7,2,0,Aggressive
62,2000000,7,2,10,Aggressive
37,1348676,3,0,16,Conservative
62,2000000,7,1,10,Moderate
24,699625,9,2,3,Aggressive
23,4917808,7,2,2,Aggressive
29,152013,9,1,8,Aggressive
22,2492382,9,2,1,Aggressive
35,3783630,5,0,14,Moderate
35,933142,4,0,14,Conservative
56,907644,6,3,35,Moderate
33,426343,1,1,12,Conservative
37,1439666,10,2,16,Aggressive
62,900000,8,2,10,Moderate
23,770865,10,0,2,Aggressive
51,2047960,10,0,30,Aggressive
25,1409277,3,1,4,Moderate
44,273286,1,0,23,Conservative
22,604776,6,3,1,Moderate
36,3719444,8,0,15,Aggressive
47,815662,7,2,26,Moderate
42,749948,1,0,21,Conservative
31,1068337,2,1,10,Conservative
56,3095428,4,1,35,Moderate
23,1188069,4,2,2,Moderate
43,3791838,10,1,22,Aggressive
62,900000,5,2,2,Moderate
55,1323460,1,2,34,Conservative
25,170713,7,3,4,Aggressive
67,3307046,6,0,46,Moderate
48,2065904,5,2,27,Moderate
37,1274763,9,2,16,Aggressive
50,499590,3,2,29,Conservative
66,3560000,3,3,45,Moderate
37,1372526,7,3,16,Aggressive
40,606758,1,2,19,Conservative
34,756569,4,3,13,Moderate
31,1425671,7,2,10,Moderate
54,663910,5,0,33,Conservative
53,971999,10,1,32,Aggressive
21,1238772,6,1,0,Moderate
39,3102079,5,3,18,Aggressive
28,4727260,10,2,7,Aggressive
42,1264028,9,1,21,Aggressive
37,622196,1,0,16,Conservative
26,900000,9,2,20,Aggressive
25,2589443,6,2,4,Aggressive
62,900000,7,0,5,Moderate
52,186441,7,2,31,Moderate
55,1374985,3,2,34,Conservative
51,201887,8,2,30,Moderate
63,759383,5,0,42,Moderate
35,792720,8,2,14,Aggressive
24,709449,2,2,3,Moderate
54,3532646,5,0,33,Moderate
36,1475531,4,1,15,Moderate
43,259478,5,2,22,Moderate
41,430907,2,1,20,Conservative
67,2086160,7,1,46,Moderate
23,369233,7,2,2,Moderate
62,2000000,7,2,5,Aggressive
27,4488761,2,2,6,Moderate
33,3183730,7,1,12,Aggressive
47,4467944,1,2,26,Conservative
44,163490,10,2,23,Aggressive
23,3005918,3,2,2,Moderate
69,3322924,4,1,48,Moderate
62,350000,10,2,20,Aggressive
40,877506,10,0,19,Aggressive
66,313608,2,0,45,Conservative
18,794895,7,0,0,Moderate
25,4909497,3,3,4,Moderate
31,3220026,1,1,10,Conservative
62,2000000,7,1,5,Moderate
44,681620,5,0,23,Moderate
59,790516,5,3,38,Moderate
59,679190,6,0,38,Moderate
55,535965,4,2,34,Conservative
38,599620,3,1,17,Conservative
32,404959,10,2,11,Aggressive
26,350000,5,1,10,Moderate
48,234935,9,0,27,Moderate
20,210962,1,3,0,Conservative
23,374908,2,1,2,Conservative
44,2000000,8,2,5,Aggressive
37,3714110,5,0,16,Moderate
18,643004,4,3,0,Moderate
57,227156,9,0,36,Moderate
41,1044893,6,2,20,Moderate
54,170495,7,0,33,Moderate
68,1390974,3,1,47,Conservative
49,4924533,4,1,28,Moderate
23,1493992,7,2,2,Aggressive
29,859681,4,2,8,Moderate
38,1346487,3,1,17,Conservative
58,1090144,8,3,37,Aggressive
56,1251866,7,1,35,Moderate
23,327499,9,1,2,Aggressive
62,900000,8,2,5,Moderate
31,1321555,2,0,10,Conservative
34,1028927,3,1,13,Conservative
26,1316180,6,2,5,Moderate
18,1318738,7,1,0,Moderate
35,1206598,2,2,14,Conservative
32,2048492,6,2,11,Aggressive
41,479141,4,0,20,Conservative
33,919123,9,3,12,Aggressive
43,255676,2,2,22,Conservative
52,550862,9,2,31,Moderate
35,2639391,6,0,14,Moderate
39,4012674,1,2,18,Moderate
38,533485,9,0,17,Moderate
44,415675,5,0,23,Moderate
39,4403030,1,2,18,Moderate
54,4252312,3,2,33,Moderate
33,931705,4,1,12,Moderate
55,475387,6,1,34,Moderate
55,1479494,10,0,34,Aggressive
34,800825,8,2,13,Aggressive
54,665958,6,3,33,Moderate
38,1217360,4,2,17,Moderate
21,3835115,5,1,0,Moderate
56,378043,1,0,35,Conservative
31,465360,9,2,10,Aggressive
59,643693,6,3,38,Moderate
39,770487,10,3,18,Aggressive
28,239909,5,2,7,Moderate
53,920266,4,0,32,Conservative
62,265398,6,2,41,Moderate
69,1334400,8,2,48,Moderate
48,1128606,10,2,27,Aggressive
46,736511,3,2,25,Conservative
33,939414,8,0,12,Moderate
68,1271937,10,2,47,Aggressive
42,3680900,8,2,21,Aggressive
18,818167,6,2,0,Moderate
48,1386936,2,2,27,Conservative
36,622099,10,0,15,Aggressive
40,2079443,8,3,19,Aggressive
34,596984,9,2,13,Aggressive
62,769628,1,3,41,Conservative
24,590813,9,2,3,Aggressive
64,737479,10,2,43,Aggressive
51,1327632,9,1,30,Moderate
46,665388,1,0,25,Conservative
32,421547,9,2,11,Aggressive
22,208871,8,2,1,Aggressive
37,4196611,10,2,16,Aggressive
32,620693,10,1,11,Aggressive
35,1862863,4,0,14,Moderate
62,900000,7,2,20,Moderate
33,950017,1,3,12,Conservative
40,532572,8,2,19,Moderate
26,900000,6,1,10,Moderate
21,158301,3,0,0,Conservative
29,220098,9,0,8,Moderate
34,3162581,6,2,13,Aggressive
33,204939,4,2,12,Moderate
27,845704,8,2,6,Aggressive
59,3811354,5,3,38,Moderate
25,2510369,1,3,4,Moderate
28,788468,4,0,7,Moderate
20,3852904,5,2,0,Aggressive
54,395648,9,2,33,Moderate
57,1488742,1,3,36,Conservative
39,566587,9,2,18,Aggressive
37,265433,3,2,16,Conservative
62,350000,9,2,5,Moderate
50,2408638,5,0,29,Moderate
62,2000000,9,2,20,Aggressive
29,655204,2,0,8,Conservative
56,1254902,2,3,35,Conservative
48,3612502,7,0,27,Moderate
32,455773,1,3,11,Conservative
57,4891169,4,2,36,Moderate
23,628137,9,2,2,Aggressive
18,866473,4,2,0,Moderate
23,729062,1,0,2,Conservative
62,2000000,5,2,10,Moderate
62,2000000,3,2,2,Moderate
19,647838,1,2,0,Conservative
39,646527,9,0,18,Moderate
26,184959,9,3,5,Aggressive
33,793727,8,2,12,Aggressive
22,3250687,1,2,1,Moderate
53,957944,4,2,32,Moderate
44,1007234,4,0,23,Conservative
37,1100298,1,0,16,Conservative
62,350000,7,2,5,Moderate
44,2000000,8,0,20,Aggressive
64,851911,4,2,43,Moderate
41,3360026,1,2,20,Moderate
34,3803265,5,1,13,Moderate
21,272691,7,2,0,Moderate
25,438268,10,2,4,Aggressive
56,1376970,5,2,35,Moderate
44,900000,8,2,10,Aggressive
37,322246,7,3,16,Moderate
56,191437,4,1,35,Conservative
34,1426849,3,0,13,Conservative
22,1057019,5,2,1,Moderate
57,2748603,2,2,36,Moderate
62,2000000,7,2,10,Aggressive
57,4307528,2,0,36,Conservative
44,2000000,10,2,20,Aggressive
49,4713319,4,0,28,Moderate
25,278407,5,0,4,Moderate
42,1168438,10,2,21,Aggressive
38,488757,2,2,17,Conservative
51,817985,1,2,30,Conservative
50,727957,4,2,29,Moderate
68,2845246,8,2,47,Aggressive
64,3793244,10,2,43,Aggressive
57,1025377,10,2,36,Aggressive
44,175938,3,3,23,Moderate
25,3903970,8,0,4,Aggressive
40,1483273,1,1,19,Conservative
18,743969,7,1,0,Moderate
42,1198556,6,2,21,Moderate
34,413149,2,2,13,Conservative
19,787747,1,2,0,Conservative
37,270295,9,2,16,Aggressive
36,1119531,10,1,15,Aggressive
52,521907,3,1,31,Conservative
24,1390892,5,2,3,Moderate
32,945109,5,1,11,Moderate
36,545191,6,2,15,Moderate
29,457122,8,3,8,Aggressive
32,1060281,6,3,11,Moderate
68,763680,2,1,47,Conservative
50,2307274,6,2,29,Moderate
68,219747,3,1,47,Conservative
37,715597,3,2,16,Moderate
41,1038757,9,2,20,Aggressive
36,410236,1,3,15,Conservative
35,1039594,2,2,14,Conservative
32,1167986,3,2,11,Moderate
37,525877,4,0,16,Conservative
47,1330149,2,2,26,Conservative
18,932782,5,1,0,Moderate
22,828008,9,3,1,Aggressive
32,1985811,1,0,11,Conservative
55,4016825,4,1,34,Moderate
56,1492908,5,1,35,Moderate
41,535311,1,1,20,Conservative
67,544512,6,3,46,Moderate
33,857292,8,0,12,Moderate
27,3635945,9,2,6,Aggressive
20,159295,6,2,0,Moderate
27,2390194,6,1,6,Aggressive
50,796604,4,2,29,Moderate
51,1068982,5,2,30,Moderate
65,789217,1,3,44,Conservative
36,4389320,7,3,15,Aggressive
38,474888,7,1,17,Moderate
40,818894,10,2,19,Aggressive
32,4743793,5,2,11,Moderate
51,2014503,3,2,30,Moderate
21,773923,2,1,0,Conservative
20,1313426,9,2,0,Aggressive
62,2000000,5,2,10,Moderate
44,3736445,10,1,23,Aggressive
52,1176555,3,1,31,Conservative
46,1195226,1,0,25,Conservative
52,350170,9,0,31,Moderate
33,392019,1,0,12,Conservative
42,4713289,7,3,21,Aggressive
56,4855608,5,2,35,Moderate
68,1389915,3,1,47,Conservative
41,1252400,1,1,20,Conservative
43,319912,5,3,22,Moderate
50,4644422,1,2,29,Conservative
42,292856,4,0,21,Conservative
20,674764,6,2,0,Moderate
62,2000000,9,2,20,Aggressive
62,2000000,8,2,5,Aggressive
18,1382606,9,2,0,Aggressive
21,969235,6,0,0,Moderate
46,1028322,4,3,25,Moderate
53,412149,1,2,32,Conservative
52,559034,3,2,31,Conservative
24,4000703,10,0,3,Aggressive
41,774075,4,0,20,Conservative
18,4907994,1,0,0,Conservative
23,1201902,10,1,2,Aggressive
21,175746,1,2,0,Conservative
22,386368,8,1,1,Moderate
62,350000,8,2,10,Moderate
22,446819,7,2,1,Moderate
52,460159,3,0,31,Conservative
23,2730415,10,2,2,Aggressive
39,1180569,10,1,18,Aggressive
42,401363,7,1,21,Moderate
44,3420031,1,2,23,Moderate
63,828394,1,0,42,Conservative
44,601667,3,3,23,Moderate
41,698434,8,0,20,Moderate
33,3298063,5,3,12,Aggressive
55,639032,7,2,34,Moderate
32,966847,6,1,11,Moderate
46,4541912,8,1,25,Aggressive
